"","HHID","hhsize","hhsize_ae","dep_ratio","hh_head_age","hh_head_sex","hh_head_sch","hh_head_read","comm","stratum","urban","int_month","int_year","sh_tof_w_b","sh_tof_wo_b","sh_fruit_w_b","sh_fruit_wo_b","sh_cash","land_size","exp_food","exp_food_pur","exp_food_away","exp_food_own","exp_food_free","exp_nodurable","exp_durable","tot_exp","self_con_fruit","self_con_cash","self_con_other","harv_q_fruit","harv_q_cash","harv_q_other","inc_fruit","inc_cash","inc_other","inc_ag_total","share_fruit","share_treesonfarm","lvst_large","lvst_small","lvst_poul","wave"
"11413","4091000210",6,4.68,0.25,46,0,NA,1,"40910002","Western",1,7,2012,0.235849069335275,0,0.235849069335275,0,0,2.11999988555908,52139.749737,14075.749929,0,38063.999808,0,2852420.985612,1665299.9916,7228987.963536,0.853658536585366,0,0.53125,41,0,12,0,0,0,0,0,0,0,0,0,"12"
"11414","4093000505",6,5.05,1,39,0,NA,1,"40930005","Western",0,1,2012,0,0,0,0,0,0,41781.18728925,40195.18729725,0,1585.999992,0,1138351.494258,824719.99584,4135693.229139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11415","4093000507",9,7.7,0.5,34,0,NA,1,"40930005","Western",0,1,2012,0,0,0,0,0,0,52437.1247355,52437.1247355,0,0,0,1381604.243031,1057168.1196675,5165502.8489445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11416","4093000510",7,5.7,1.33333333333333,40,0,NA,1,"40930005","Western",0,7,2012,0,0,0,0,0,0,43912.3747785,43912.3747785,0,0,0,676825.496586,104775.1244715,3065044.1095395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11417","4093000902",2,2,0,53,0,NA,1,"40930009","Western",0,8,2012,0,0,0,0,0,3,13530.56243175,4212.81247875,0,9317.749953,0,217678.498902,57492.49971,978760.245063,0,0,0.575925925925926,0,0,68,0,0,287462.49855,287462.49855,0,0,0,2,6,"12"
"11418","4093000903",6,4.56,0.25,50,0,NA,1,"40930009","Western",0,2,2012,0.173611104212426,0.0578703680708086,0.115740736141617,0,0.0578703680708086,8.64000034332275,50603.31224475,20568.43739625,0,30034.8748485,0,1624856.991804,710726.246415,4966955.474946,0.366190476190476,0,0.588030302885807,130,1,91,414342.49791,148687.49925,2151012.48915,2714042.48631,0.152666179693207,0.20745069393718,0,1,22,"12"
"11419","4093000904",13,10.4,0.714285714285714,52,0,NA,1,"40930009","Western",0,8,2012,0,0,0,0,0,4,57591.6247095,33206.8748325,0,24384.749877,0,1310234.243391,518919.3723825,6004298.5947135,0.676470588235294,0,0.667053183727696,34,0,731.200000047684,43614.99978,0,2188679.98896,2232294.98874,0.019538188277087,0.019538188277087,0,3,26,"12"
"11420","4093000905",8,6,3,37,0,NA,1,"40930009","Western",0,2,2012,0.2,0.15,0.2,0.15,0,5,58087.249707,22104.8748885,0,35982.3748185,0,814807.49589,39649.9998,3874994.480454,0.766666666666667,0,0.530866321295236,70,0,64.9000000953674,81282.49959,0,540231.247275,621513.746865,0.130781499202552,0.130781499202552,0,0,0,"12"
"11421","4093001101",8,6.9,0.6,33,0,NA,1,"40930011","Western",0,7,2012,0,0,0,0,0,3.12500011920929,25375.999872,9515.999952,0,15859.99992,0,176045.999112,64530.3746745,1560128.3671305,0,0,0.604513886891719,0,0,26.2000001966953,0,0,238891.248795,238891.248795,0,0,0,0,0,"12"
"11422","4101000102",10,8.37,0.666666666666667,66,0,NA,1,"41010001","Western",1,6,2012,1,0,1,0,0,0.300000011920929,80390.3745945,67008.499662,0,12787.1249355,594.749997,1998359.98992,5863243.720425,12041903.189259,1,0,0.833333333333333,67,0,8,0,0,69387.49965,69387.49965,0,0,0,0,0,"12"
"11423","4101000105",5,4.02,0.666666666666667,61,1,NA,1,"41010001","Western",1,6,2012,0.333333337472545,0,0.333333337472545,0,0,1.20000000298023,40145.6247975,17594.68741125,0,14868.749925,7682.18746125,4379738.977908,3548674.9821,10015986.449478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
