="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="sh_tof_wo_b",="0.390",="",="",="-0.161",="",="",="0.294",="",="",="0.604",="",=""
="",="[0.189]",="",="",="[0.101]",="",="",="[0.673]",="",="",="[0.324]",="",=""
="sh_fruit_wo_b",="",="3.694**",="3.696**",="",="-0.206",="-0.195",="",="0.730",="0.727",="",="-0.526",="-0.555"
="",="",="[0.789]",="[0.800]",="",="[0.657]",="[0.667]",="",="[1.761]",="[1.781]",="",="[1.098]",="[1.075]"
="sh_cash",="",="",="-0.046",="",="",="-0.272",="",="",="0.062",="",="",="0.671"
="",="",="",="[0.367]",="",="",="[0.156]",="",="",="[0.949]",="",="",="[0.402]"
="Observations",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260"
="R-squared",="0.031",="0.031",="0.031",="0.105",="0.105",="0.105",="0.036",="0.036",="0.036",="0.078",="0.077",="0.078"
