="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="sh_tof_w_b",="0.418",="",="",="0.084",="",="",="0.363",="",="",="0.582*",="",=""
="",="[0.331]",="",="",="[0.086]",="",="",="[0.371]",="",="",="[0.191]",="",=""
="sh_fruit_w_b",="",="0.562",="0.593",="",="0.184",="0.225",="",="0.473",="0.488",="",="0.694*",="0.645*"
="",="",="[0.461]",="[0.447]",="",="[0.101]",="[0.098]",="",="[0.360]",="[0.272]",="",="[0.228]",="[0.244]"
="sh_cash",="",="",="-0.267",="",="",="-0.359*",="",="",="-0.124",="",="",="0.422"
="",="",="",="[0.178]",="",="",="[0.126]",="",="",="[0.802]",="",="",="[0.502]"
="Observations",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260",="3260"
="R-squared",="0.031",="0.031",="0.031",="0.105",="0.105",="0.106",="0.037",="0.037",="0.037",="0.083",="0.082",="0.083"
